company_name,normalized_company_name,industry_name,normalized_industry_name,sub_industry,country,source,confidence_score,verified
Capital One Financial Corp.,capital one financial corp,Banking,banking,Commercial Banking,USA,Verified Real Company Database,100,True
TD Bank,td bank,Banking,banking,Commercial Banking,USA,Verified Real Company Database,100,True
State Street Corporation,state street corporation,Financial Services,financial services,Asset Management,USA,Verified Real Company Database,100,True
BNY Mellon,bny mellon,Financial Services,financial services,Asset Management,USA,Verified Real Company Database,100,True
Fidelity Investments,fidelity investments,Financial Services,financial services,Asset Management,USA,Verified Real Company Database,100,True
Vanguard Group,vanguard group,Financial Services,financial services,Asset Management,USA,Verified Real Company Database,100,True
MetLife Inc.,metlife inc,Financial Services,financial services,Insurance,USA,Verified Real Company Database,100,True
Prudential Financial Inc.,prudential financial inc,Financial Services,financial services,Insurance,USA,Verified Real Company Database,100,True
Aflac Inc.,aflac inc,Financial Services,financial services,Insurance,USA,Verified Real Company Database,100,True
Progressive Corporation,progressive corporation,Financial Services,financial services,Insurance,USA,Verified Real Company Database,100,True
Allstate Corporation,allstate corporation,Financial Services,financial services,Insurance,USA,Verified Real Company Database,100,True
Travelers Companies Inc.,travelers companies inc,Financial Services,financial services,Insurance,USA,Verified Real Company Database,100,True
Berkshire Hathaway Inc.,berkshire hathaway inc,Conglomerate,conglomerate,Diversified Holdings,USA,Verified Real Company Database,100,True
Walmart Inc.,walmart inc,Retail,retail,Supermarket Chain,USA,Verified Real Company Database,100,True
Target Corporation,target corporation,Retail,retail,Department Stores,USA,Verified Real Company Database,100,True
The Home Depot Inc.,the home depot inc,Retail,retail,Home Improvement,USA,Verified Real Company Database,100,True
Costco Wholesale Corporation,costco wholesale corporation,Retail,retail,Warehouse Club,USA,Verified Real Company Database,100,True
The Coca-Cola Company,the coca cola company,FMCG,fmcg,Beverages,USA,Verified Real Company Database,100,True
PepsiCo Inc.,pepsico inc,FMCG,fmcg,Beverages & Snacks,USA,Verified Real Company Database,100,True
Procter & Gamble Co.,procter gamble co,FMCG,fmcg,Consumer Goods,USA,Verified Real Company Database,100,True
Nike Inc.,nike inc,Retail,retail,Sportswear,USA,Verified Real Company Database,100,True
Starbucks Corporation,starbucks corporation,Food & Beverage,food beverage,Coffee Shops,USA,Verified Real Company Database,100,True
McDonald's Corporation,mcdonalds corporation,Food & Beverage,food beverage,Fast Food,USA,Verified Real Company Database,100,True
Lowe's Companies Inc.,lowes companies inc,Retail,retail,Home Improvement,USA,Verified Real Company Database,100,True
Best Buy Co. Inc.,best buy co inc,Retail,retail,Electronics Retail,USA,Verified Real Company Database,100,True
Gap Inc.,gap inc,Retail,retail,Apparel Retail,USA,Verified Real Company Database,100,True
Ross Stores Inc.,ross stores inc,Retail,retail,Discount Retail,USA,Verified Real Company Database,100,True
TJX Companies Inc.,tjx companies inc,Retail,retail,Discount Retail,USA,Verified Real Company Database,100,True
Macy's Inc.,macys inc,Retail,retail,Department Stores,USA,Verified Real Company Database,100,True
Nordstrom Inc.,nordstrom inc,Retail,retail,Department Stores,USA,Verified Real Company Database,100,True
Kohl's Corporation,kohls corporation,Retail,retail,Department Stores,USA,Verified Real Company Database,100,True
Dollar General Corporation,dollar general corporation,Retail,retail,Discount Stores,USA,Verified Real Company Database,100,True
Dollar Tree Inc.,dollar tree inc,Retail,retail,Discount Stores,USA,Verified Real Company Database,100,True
Kroger Co.,kroger co,Retail,retail,Supermarket Chain,USA,Verified Real Company Database,100,True
Albertsons Companies Inc.,albertsons companies inc,Retail,retail,Supermarket Chain,USA,Verified Real Company Database,100,True
Walgreens Boots Alliance,walgreens boots alliance,Retail,retail,Pharmacy Retail,USA,Verified Real Company Database,100,True
CVS Health Corporation,cvs health corporation,Healthcare,healthcare,Pharmacy Retail,USA,Verified Real Company Database,100,True
Rite Aid Corporation,rite aid corporation,Retail,retail,Pharmacy Retail,USA,Verified Real Company Database,100,True
Adidas America,adidas america,Retail,retail,Sportswear,USA,Verified Real Company Database,100,True
Under Armour Inc.,under armour inc,Retail,retail,Sportswear,USA,Verified Real Company Database,100,True
Lululemon Athletica,lululemon athletica,Retail,retail,Activewear,USA,Verified Real Company Database,100,True
Ralph Lauren Corporation,ralph lauren corporation,Retail,retail,Fashion,USA,Verified Real Company Database,100,True
PVH Corp.,pvh corp,Retail,retail,Apparel,USA,Verified Real Company Database,100,True
Foot Locker Inc.,foot locker inc,Retail,retail,Footwear Retail,USA,Verified Real Company Database,100,True
Levi Strauss & Co.,levi strauss co,Retail,retail,Apparel,USA,Verified Real Company Database,100,True
Yum! Brands Inc.,yum brands inc,Food & Beverage,food beverage,Fast Food,USA,Verified Real Company Database,100,True
Chipotle Mexican Grill,chipotle mexican grill,Food & Beverage,food beverage,Fast Casual,USA,Verified Real Company Database,100,True
Domino's Pizza Inc.,dominos pizza inc,Food & Beverage,food beverage,Fast Food,USA,Verified Real Company Database,100,True
Papa John's International,papa johns international,Food & Beverage,food beverage,Fast Food,USA,Verified Real Company Database,100,True
Wendy's Company,wendys company,Food & Beverage,food beverage,Fast Food,USA,Verified Real Company Database,100,True
Burger King (Restaurant Brands),burger king restaurant brands,Food & Beverage,food beverage,Fast Food,USA,Verified Real Company Database,100,True
Subway,subway,Food & Beverage,food beverage,Fast Food,USA,Verified Real Company Database,100,True
Dunkin' Brands,dunkin brands,Food & Beverage,food beverage,Coffee & Donuts,USA,Verified Real Company Database,100,True
Mondelez International,mondelez international,FMCG,fmcg,Snacks,USA,Verified Real Company Database,100,True
Kraft Heinz Company,kraft heinz company,FMCG,fmcg,Food Products,USA,Verified Real Company Database,100,True
General Mills Inc.,general mills inc,FMCG,fmcg,Food Products,USA,Verified Real Company Database,100,True
Kellogg Company,kellogg company,FMCG,fmcg,Cereals,USA,Verified Real Company Database,100,True
Campbell Soup Company,campbell soup company,FMCG,fmcg,Food Products,USA,Verified Real Company Database,100,True
Conagra Brands Inc.,conagra brands inc,FMCG,fmcg,Food Products,USA,Verified Real Company Database,100,True
The Hershey Company,the hershey company,FMCG,fmcg,Confectionery,USA,Verified Real Company Database,100,True
Mars Inc.,mars inc,FMCG,fmcg,Confectionery,USA,Verified Real Company Database,100,True
Colgate-Palmolive Company,colgate palmolive company,FMCG,fmcg,Consumer Goods,USA,Verified Real Company Database,100,True
Kimberly-Clark Corporation,kimberly clark corporation,FMCG,fmcg,Consumer Goods,USA,Verified Real Company Database,100,True
Estée Lauder Companies,estee lauder companies,FMCG,fmcg,Cosmetics,USA,Verified Real Company Database,100,True
Johnson & Johnson,johnson johnson,Healthcare,healthcare,Pharmaceuticals,USA,Verified Real Company Database,100,True
Pfizer Inc.,pfizer inc,Healthcare,healthcare,Pharmaceuticals,USA,Verified Real Company Database,100,True
UnitedHealth Group Inc.,unitedhealth group inc,Healthcare,healthcare,Health Insurance,USA,Verified Real Company Database,100,True
Merck & Co. Inc.,merck co inc,Healthcare,healthcare,Pharmaceuticals,USA,Verified Real Company Database,100,True
AbbVie Inc.,abbvie inc,Healthcare,healthcare,Pharmaceuticals,USA,Verified Real Company Database,100,True
Bristol-Myers Squibb Co.,bristol myers squibb co,Healthcare,healthcare,Pharmaceuticals,USA,Verified Real Company Database,100,True
Eli Lilly and Company,eli lilly and company,Healthcare,healthcare,Pharmaceuticals,USA,Verified Real Company Database,100,True
Amgen Inc.,amgen inc,Healthcare,healthcare,Biotechnology,USA,Verified Real Company Database,100,True
Gilead Sciences Inc.,gilead sciences inc,Healthcare,healthcare,Biotechnology,USA,Verified Real Company Database,100,True
Regeneron Pharmaceuticals,regeneron pharmaceuticals,Healthcare,healthcare,Biotechnology,USA,Verified Real Company Database,100,True
Biogen Inc.,biogen inc,Healthcare,healthcare,Biotechnology,USA,Verified Real Company Database,100,True
Moderna Inc.,moderna inc,Healthcare,healthcare,Biotechnology,USA,Verified Real Company Database,100,True
Vertex Pharmaceuticals,vertex pharmaceuticals,Healthcare,healthcare,Biotechnology,USA,Verified Real Company Database,100,True
Celgene Corporation,celgene corporation,Healthcare,healthcare,Biotechnology,USA,Verified Real Company Database,100,True
Anthem Inc.,anthem inc,Healthcare,healthcare,Health Insurance,USA,Verified Real Company Database,100,True
Cigna Corporation,cigna corporation,Healthcare,healthcare,Health Insurance,USA,Verified Real Company Database,100,True
Humana Inc.,humana inc,Healthcare,healthcare,Health Insurance,USA,Verified Real Company Database,100,True
Centene Corporation,centene corporation,Healthcare,healthcare,Health Insurance,USA,Verified Real Company Database,100,True
HCA Healthcare Inc.,hca healthcare inc,Healthcare,healthcare,Hospital Operator,USA,Verified Real Company Database,100,True
Tenet Healthcare Corporation,tenet healthcare corporation,Healthcare,healthcare,Hospital Operator,USA,Verified Real Company Database,100,True
Abbott Laboratories,abbott laboratories,Healthcare,healthcare,Medical Devices,USA,Verified Real Company Database,100,True
Medtronic plc,medtronic plc,Healthcare,healthcare,Medical Devices,USA,Verified Real Company Database,100,True
Boston Scientific Corporation,boston scientific corporation,Healthcare,healthcare,Medical Devices,USA,Verified Real Company Database,100,True
Stryker Corporation,stryker corporation,Healthcare,healthcare,Medical Devices,USA,Verified Real Company Database,100,True
Baxter International Inc.,baxter international inc,Healthcare,healthcare,Medical Products,USA,Verified Real Company Database,100,True
Becton Dickinson and Company,becton dickinson and company,Healthcare,healthcare,Medical Devices,USA,Verified Real Company Database,100,True
Danaher Corporation,danaher corporation,Healthcare,healthcare,Life Sciences,USA,Verified Real Company Database,100,True
Thermo Fisher Scientific,thermo fisher scientific,Healthcare,healthcare,Life Sciences,USA,Verified Real Company Database,100,True
Illumina Inc.,illumina inc,Healthcare,healthcare,Genetic Testing,USA,Verified Real Company Database,100,True
Quest Diagnostics Inc.,quest diagnostics inc,Healthcare,healthcare,Diagnostic Services,USA,Verified Real Company Database,100,True
Laboratory Corporation of America,laboratory corporation of america,Healthcare,healthcare,Diagnostic Services,USA,Verified Real Company Database,100,True
ExxonMobil Corporation,exxonmobil corporation,Energy,energy,Oil & Gas,USA,Verified Real Company Database,100,True
Chevron Corporation,chevron corporation,Energy,energy,Oil & Gas,USA,Verified Real Company Database,100,True
ConocoPhillips,conocophillips,Energy,energy,Oil & Gas,USA,Verified Real Company Database,100,True
Occidental Petroleum,occidental petroleum,Energy,energy,Oil & Gas,USA,Verified Real Company Database,100,True
Phillips 66,phillips 66,Energy,energy,Oil Refining,USA,Verified Real Company Database,100,True
Valero Energy Corporation,valero energy corporation,Energy,energy,Oil Refining,USA,Verified Real Company Database,100,True
Marathon Petroleum Corporation,marathon petroleum corporation,Energy,energy,Oil Refining,USA,Verified Real Company Database,100,True
Halliburton Company,halliburton company,Energy,energy,Oil Services,USA,Verified Real Company Database,100,True
Schlumberger Limited,schlumberger limited,Energy,energy,Oil Services,USA,Verified Real Company Database,100,True
Baker Hughes Company,baker hughes company,Energy,energy,Oil Services,USA,Verified Real Company Database,100,True
NextEra Energy Inc.,nextera energy inc,Energy,energy,Renewable Energy,USA,Verified Real Company Database,100,True
Duke Energy Corporation,duke energy corporation,Energy,energy,Electric Utility,USA,Verified Real Company Database,100,True
Southern Company,southern company,Energy,energy,Electric Utility,USA,Verified Real Company Database,100,True
Dominion Energy Inc.,dominion energy inc,Energy,energy,Electric Utility,USA,Verified Real Company Database,100,True
General Motors Company,general motors company,Automotive,automotive,Automobile Manufacturing,USA,Verified Real Company Database,100,True
Ford Motor Company,ford motor company,Automotive,automotive,Automobile Manufacturing,USA,Verified Real Company Database,100,True
Rivian Automotive Inc.,rivian automotive inc,Automotive,automotive,Electric Vehicles,USA,Verified Real Company Database,100,True
Lucid Motors Inc.,lucid motors inc,Automotive,automotive,Electric Vehicles,USA,Verified Real Company Database,100,True
The Boeing Company,the boeing company,Aerospace,aerospace,Aircraft Manufacturing,USA,Verified Real Company Database,100,True
Lockheed Martin Corporation,lockheed martin corporation,Aerospace,aerospace,Defense,USA,Verified Real Company Database,100,True
Raytheon Technologies Corp.,raytheon technologies corp,Aerospace,aerospace,Defense,USA,Verified Real Company Database,100,True
Northrop Grumman Corporation,northrop grumman corporation,Aerospace,aerospace,Defense,USA,Verified Real Company Database,100,True
General Dynamics Corporation,general dynamics corporation,Aerospace,aerospace,Defense,USA,Verified Real Company Database,100,True
SpaceX,spacex,Aerospace,aerospace,Space Technology,USA,Verified Real Company Database,100,True
Blue Origin,blue origin,Aerospace,aerospace,Space Technology,USA,Verified Real Company Database,100,True
The Walt Disney Company,the walt disney company,Media,media,Entertainment,USA,Verified Real Company Database,100,True
Comcast Corporation,comcast corporation,Media,media,Telecommunications,USA,Verified Real Company Database,100,True
AT&T Inc.,att inc,Telecommunications,telecommunications,Telecom Services,USA,Verified Real Company Database,100,True
Verizon Communications Inc.,verizon communications inc,Telecommunications,telecommunications,Telecom Services,USA,Verified Real Company Database,100,True
T-Mobile US Inc.,tmobile us inc,Telecommunications,telecommunications,Telecom Services,USA,Verified Real Company Database,100,True
Warner Bros. Discovery,warner bros discovery,Media,media,Entertainment,USA,Verified Real Company Database,100,True
Paramount Global,paramount global,Media,media,Entertainment,USA,Verified Real Company Database,100,True
Fox Corporation,fox corporation,Media,media,Broadcasting,USA,Verified Real Company Database,100,True
ViacomCBS,viacomcbs,Media,media,Entertainment,USA,Verified Real Company Database,100,True
Sony Pictures Entertainment,sony pictures entertainment,Media,media,Film Production,USA,Verified Real Company Database,100,True
Universal Pictures,universal pictures,Media,media,Film Production,USA,Verified Real Company Database,100,True
Charter Communications Inc.,charter communications inc,Telecommunications,telecommunications,Cable Services,USA,Verified Real Company Database,100,True
HSBC Holdings plc,hsbc holdings plc,Banking,banking,Commercial Banking,UK,Verified Real Company Database,100,True
Barclays PLC,barclays plc,Banking,banking,Investment Banking,UK,Verified Real Company Database,100,True
Lloyds Banking Group plc,lloyds banking group plc,Banking,banking,Commercial Banking,UK,Verified Real Company Database,100,True
Standard Chartered PLC,standard chartered plc,Banking,banking,Commercial Banking,UK,Verified Real Company Database,100,True
NatWest Group plc,natwest group plc,Banking,banking,Commercial Banking,UK,Verified Real Company Database,100,True
Prudential plc,prudential plc,Financial Services,financial services,Insurance,UK,Verified Real Company Database,100,True
Unilever PLC,unilever plc,FMCG,fmcg,Consumer Goods,UK,Verified Real Company Database,100,True
Diageo plc,diageo plc,FMCG,fmcg,Alcoholic Beverages,UK,Verified Real Company Database,100,True
Reckitt Benckiser Group plc,reckitt benckiser group plc,FMCG,fmcg,Consumer Goods,UK,Verified Real Company Database,100,True
Tesco PLC,tesco plc,Retail,retail,Supermarket Chain,UK,Verified Real Company Database,100,True
Sainsbury's,sainsburys,Retail,retail,Supermarket Chain,UK,Verified Real Company Database,100,True
Marks & Spencer Group plc,marks spencer group plc,Retail,retail,Retail Chain,UK,Verified Real Company Database,100,True
ASDA,asda,Retail,retail,Supermarket Chain,UK,Verified Real Company Database,100,True
Morrisons,morrisons,Retail,retail,Supermarket Chain,UK,Verified Real Company Database,100,True
BP plc,bp plc,Energy,energy,Oil & Gas,UK,Verified Real Company Database,100,True
Shell plc,shell plc,Energy,energy,Oil & Gas,UK,Verified Real Company Database,100,True
AstraZeneca PLC,astrazeneca plc,Healthcare,healthcare,Pharmaceuticals,UK,Verified Real Company Database,100,True
GlaxoSmithKline plc,glaxosmithkline plc,Healthcare,healthcare,Pharmaceuticals,UK,Verified Real Company Database,100,True
Rio Tinto Group,rio tinto group,Mining,mining,Metals & Mining,UK,Verified Real Company Database,100,True
Anglo American plc,anglo american plc,Mining,mining,Metals & Mining,UK,Verified Real Company Database,100,True
Glencore plc,glencore plc,Mining,mining,Metals & Mining,UK,Verified Real Company Database,100,True
Vodafone Group Plc,vodafone group plc,Telecommunications,telecommunications,Telecom Services,UK,Verified Real Company Database,100,True
BT Group plc,bt group plc,Telecommunications,telecommunications,Telecom Services,UK,Verified Real Company Database,100,True
Rolls-Royce Holdings plc,rolls royce holdings plc,Aerospace,aerospace,Aircraft Engines,UK,Verified Real Company Database,100,True
BAE Systems plc,bae systems plc,Aerospace,aerospace,Defense,UK,Verified Real Company Database,100,True
British American Tobacco plc,british american tobacco plc,FMCG,fmcg,Tobacco,UK,Verified Real Company Database,100,True
National Grid plc,national grid plc,Energy,energy,Utilities,UK,Verified Real Company Database,100,True
Centrica plc,centrica plc,Energy,energy,Utilities,UK,Verified Real Company Database,100,True
SSE plc,sse plc,Energy,energy,Utilities,UK,Verified Real Company Database,100,True
Aviva plc,aviva plc,Financial Services,financial services,Insurance,UK,Verified Real Company Database,100,True
Legal & General Group plc,legal general group plc,Financial Services,financial services,Insurance,UK,Verified Real Company Database,100,True
WPP plc,wpp plc,Media,media,Advertising,UK,Verified Real Company Database,100,True
Pearson plc,pearson plc,Media,media,Publishing,UK,Verified Real Company Database,100,True
ITV plc,itv plc,Media,media,Broadcasting,UK,Verified Real Company Database,100,True
Sky Group,sky group,Media,media,Broadcasting,UK,Verified Real Company Database,100,True
Burberry Group plc,burberry group plc,Retail,retail,Luxury Fashion,UK,Verified Real Company Database,100,True
Next plc,next plc,Retail,retail,Fashion Retail,UK,Verified Real Company Database,100,True
Kingfisher plc,kingfisher plc,Retail,retail,Home Improvement,UK,Verified Real Company Database,100,True
J Sainsbury plc,j sainsbury plc,Retail,retail,Supermarket Chain,UK,Verified Real Company Database,100,True
Associated British Foods plc,associated british foods plc,FMCG,fmcg,Food Products,UK,Verified Real Company Database,100,True
Royal Bank of Canada,royal bank of canada,Banking,banking,Commercial Banking,Canada,Verified Real Company Database,100,True
Toronto-Dominion Bank,toronto dominion bank,Banking,banking,Commercial Banking,Canada,Verified Real Company Database,100,True
Bank of Nova Scotia,bank of nova scotia,Banking,banking,Commercial Banking,Canada,Verified Real Company Database,100,True
Bank of Montreal,bank of montreal,Banking,banking,Commercial Banking,Canada,Verified Real Company Database,100,True
Canadian Imperial Bank of Commerce,canadian imperial bank of commerce,Banking,banking,Commercial Banking,Canada,Verified Real Company Database,100,True
Suncor Energy Inc.,suncor energy inc,Energy,energy,Oil & Gas,Canada,Verified Real Company Database,100,True
Canadian Natural Resources Ltd.,canadian natural resources ltd,Energy,energy,Oil & Gas,Canada,Verified Real Company Database,100,True
Enbridge Inc.,enbridge inc,Energy,energy,Pipeline,Canada,Verified Real Company Database,100,True
TC Energy Corporation,tc energy corporation,Energy,energy,Pipeline,Canada,Verified Real Company Database,100,True
BCE Inc.,bce inc,Telecommunications,telecommunications,Telecom Services,Canada,Verified Real Company Database,100,True
Rogers Communications Inc.,rogers communications inc,Telecommunications,telecommunications,Telecom Services,Canada,Verified Real Company Database,100,True
Telus Corporation,telus corporation,Telecommunications,telecommunications,Telecom Services,Canada,Verified Real Company Database,100,True
Loblaw Companies Limited,loblaw companies limited,Retail,retail,Supermarket Chain,Canada,Verified Real Company Database,100,True
Canadian Tire Corporation,canadian tire corporation,Retail,retail,Retail Chain,Canada,Verified Real Company Database,100,True
Shopify Inc.,shopify inc,Technology,technology,E-commerce Platform,Canada,Verified Real Company Database,100,True
BlackBerry Limited,blackberry limited,Technology,technology,Cybersecurity,Canada,Verified Real Company Database,100,True
Barrick Gold Corporation,barrick gold corporation,Mining,mining,Gold Mining,Canada,Verified Real Company Database,100,True
Teck Resources Limited,teck resources limited,Mining,mining,Metals & Mining,Canada,Verified Real Company Database,100,True
Canadian National Railway,canadian national railway,Transportation,transportation,Rail Transport,Canada,Verified Real Company Database,100,True
Canadian Pacific Railway,canadian pacific railway,Transportation,transportation,Rail Transport,Canada,Verified Real Company Database,100,True
Manulife Financial Corporation,manulife financial corporation,Financial Services,financial services,Insurance,Canada,Verified Real Company Database,100,True
Sun Life Financial Inc.,sun life financial inc,Financial Services,financial services,Insurance,Canada,Verified Real Company Database,100,True
Power Corporation of Canada,power corporation of canada,Financial Services,financial services,Investment Management,Canada,Verified Real Company Database,100,True
Brookfield Asset Management,brookfield asset management,Financial Services,financial services,Asset Management,Canada,Verified Real Company Database,100,True
Bombardier Inc.,bombardier inc,Aerospace,aerospace,Aircraft Manufacturing,Canada,Verified Real Company Database,100,True
Air Canada,air canada,Aviation,aviation,Airlines,Canada,Verified Real Company Database,100,True
Magna International Inc.,magna international inc,Automotive,automotive,Auto Parts,Canada,Verified Real Company Database,100,True
Restaurant Brands International,restaurant brands international,Food & Beverage,food beverage,Fast Food,Canada,Verified Real Company Database,100,True
Alimentation Couche-Tard Inc.,alimentation couche tard inc,Retail,retail,Convenience Stores,Canada,Verified Real Company Database,100,True
Commonwealth Bank of Australia,commonwealth bank of australia,Banking,banking,Commercial Banking,Australia,Verified Real Company Database,100,True
Westpac Banking Corporation,westpac banking corporation,Banking,banking,Commercial Banking,Australia,Verified Real Company Database,100,True
Australia and New Zealand Banking Group,australia and new zealand banking group,Banking,banking,Commercial Banking,Australia,Verified Real Company Database,100,True
National Australia Bank,national australia bank,Banking,banking,Commercial Banking,Australia,Verified Real Company Database,100,True
Macquarie Group Limited,macquarie group limited,Financial Services,financial services,Investment Banking,Australia,Verified Real Company Database,100,True
BHP Group Limited,bhp group limited,Mining,mining,Metals & Mining,Australia,Verified Real Company Database,100,True
Rio Tinto Limited,rio tinto limited,Mining,mining,Metals & Mining,Australia,Verified Real Company Database,100,True
Fortescue Metals Group,fortescue metals group,Mining,mining,Iron Ore Mining,Australia,Verified Real Company Database,100,True
Newcrest Mining Limited,newcrest mining limited,Mining,mining,Gold Mining,Australia,Verified Real Company Database,100,True
Woolworths Group Limited,woolworths group limited,Retail,retail,Supermarket Chain,Australia,Verified Real Company Database,100,True
